,t##Other##,D##length##inches,B##length##inches,d##length##inches
C5 1/2,18,5.5,1.875,0.4
C6,18,6,1.625,0.4
C7 1/4,18,7.25,1.75,0.4
C8,18,8,2,0.4
C9 1/4,18,9.25,2.5,0.4
C10,18,10,2.5,0.4
C12,18,12,2.5,0.4
162S125-18,18,1.62,1.25,0.188
162S125-27,27,1.62,1.25,0.188
162S125-30,30,1.62,1.25,0.188
162S125-33,33,1.62,1.25,0.188
250S125-18,18,2.50,1.25,0.188
250S125-27,27,2.50,1.25,0.188
250S125-30,30,2.50,1.25,0.188
250S125-33,33,2.50,1.25,0.188
250S125-43,43,2.50,1.25,0.188
250S125-54,54,2.50,1.25,0.188
250S125-68,68,2.50,1.25,0.188
350S125-18,18,3.50,1.25,0.188
350S125-27,27,3.50,1.25,0.188
350S125-30,30,3.50,1.25,0.188
350S125-33,33,3.50,1.25,0.188
350S125-43,43,3.50,1.25,0.188
350S125-54,54,3.50,1.25,0.188
350S125-68,68,3.50,1.25,0.188
362S125-18,18,3.62,1.25,0.188
362S125-27,27,3.62,1.25,0.188
362S125-30,30,3.62,1.25,0.188
362S125-33,33,3.62,1.25,0.188
362S125-43,43,3.62,1.25,0.188
362S125-54,54,3.62,1.25,0.188
362S125-68,68,3.62,1.25,0.188
400S125-18,18,4.00,1.25,0.188
400S125-27,27,4.00,1.25,0.188
400S125-30,30,4.00,1.25,0.188
400S125-33,33,4.00,1.25,0.188
400S125-43,43,4.00,1.25,0.188
400S125-54,54,4.00,1.25,0.188
400S125-68,68,4.00,1.25,0.188
550S125-18,18,5.50,1.25,0.188
550S125-27,27,5.50,1.25,0.188
550S125-30,30,5.50,1.25,0.188
550S125-33,33,5.50,1.25,0.188
550S125-43,43,5.50,1.25,0.188
550S125-54,54,5.50,1.25,0.188
550S125-68,68,5.50,1.25,0.188
600S125-18,18,6.00,1.25,0.188
600S125-27,27,6.00,1.25,0.188
600S125-30,30,6.00,1.25,0.188
600S125-33,33,6.00,1.25,0.188
600S125-43,43,6.00,1.25,0.188
600S125-54,54,6.00,1.25,0.188
600S125-68,68,6.00,1.25,0.188
800S125-33,33,8.00,1.25,0.188
800S125-43,43,8.00,1.25,0.188
800S125-54,54,8.00,1.25,0.188
800S125-68,68,8.00,1.25,0.188
250S137-33,33,2.50,1.37,0.375
250S137-43,43,2.50,1.37,0.375
250S137-54,54,2.50,1.37,0.375
250S137-68,68,2.50,1.37,0.375
250S162-33,33,2.50,1.62,0.500
250S162-43,43,2.50,1.62,0.500
250S162-54,54,2.50,1.62,0.500
250S162-68,68,2.50,1.62,0.500
350S162-33,33,3.50,1.62,0.500
350S162-43,43,3.50,1.62,0.500
350S162-54,54,3.50,1.62,0.500
350S162-68,68,3.50,1.62,0.500
362S137-33,33,3.62,1.37,0.375
