,Diameter##length##inches,Head Size##length##inches,Head Height##length##inches
1/4,0.25,0.4375,0.171875
5/16,0.3125,0.5,0.21875
3/8,0.375,0.5625,0.25
7/16_not common,0.4375,0.625,0.296875
1/2,0.515,0.75,0.364
5/8,0.642,0.938,0.444
3/4,0.768,1.125,0.524
7/8,0.895,1.312,0.604
1,1.022,1.5,0.7
1 1/8,1.149,1.688,0.78
1 1/4,1.277,1.875,0.876
1 3/8,1.404,2.062,0.94
1 1/2,1.531,2.25,1.036
1 5/8,1.658,2.438,1.116
1 3/4,1.785,2.625,1.196
1 7/8,1.912,2.812,1.276
2,2.039,3,1.388
2 1/4,2.305,3.375,1.548
2 1/2,2.559,3.75,1.708
