;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##
Left Upper Shelves & Lower Door, Right Upper Shelves & Lower Door;ZXDO1089011N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & Lower Door, Right Upper Shelves & File File Pedestal;ZXDO1089012N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & Lower Door, Right Upper Shelves & Box Box File Pedestal;ZXDO1089013N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Shelves & Lower Door, Right Full Wardrobe;ZXDO1089014N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door;ZXDO1089015N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal;ZXDO1089016N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1089017N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door;ZXDO1089021N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1089022N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1089023N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Shelves & File File Pedestal, Right Full Wardrobe;ZXDO1089024N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1089025N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1089026N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1089027N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door;ZXDO1089031N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1089032N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1089033N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe;ZXDO1089034N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1089035N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1089036N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1089037N;"Stor Wall w/Open Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Full Wardrobe, Right Upper Shelves & Lower Door;ZXDO1089041N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Full Wardrobe, Right Upper Shelves & File File Pedestal;ZXDO1089042N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal;ZXDO1089043N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Full Wardrobe, Right Full Wardrobe;ZXDO1089044N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Full Wardrobe, Right Upper Wardrobe & Lower Door;ZXDO1089045N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal;ZXDO1089046N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1089047N;"Stor Wall w/Open Int,108""wx90""h,Full Wdrb-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
