,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Shelves & Lower Door, Double Doors",ZXDS108741DDDD1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Shelves & File File Pedestal, Double Doors",ZXDS108741DDDD2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXDS108741DDDD3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Full Wardrobe, Double Doors",ZXDS108741DDDD4N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Shlvs & Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & Lower Door, Double Doors",ZXDS108741DDDD5N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXDS108741DDDD6N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXDS108741DDDD7N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,1
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Shelves & Lower Door, File File",ZXDS108741DDFF1N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1,0
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Shelves & File File Pedestal, File File",ZXDS108741DDFF2N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1,0
"Left Upper Shelves & Lower Door, Double Doors, Right Upper Shelves & Box Box File Pedestal, File File",ZXDS108741DDFF3N,"Stor Wall w/Dbl Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,Dbl Drs-L Int Stor,FF-R Int Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1,0
