,Model##other##,Description##other##,Storage Tower##other##,Has Double Doors##other##
"Upper Shelves & Lower Door, Double Doors",ZXLR92901DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Shlvs & Low Dr-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Upper Shelves & Lower Door, File File",ZXLR92901FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Shlvs & Low Dr-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Upper Shelves & File File Pedestal, Double Doors",ZXLR92902DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Shlvs & FF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Upper Shelves & File File Pedestal, File File",ZXLR92902FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Shlvs & FF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Upper Shelves & Box Box File Pedestal, Double Doors",ZXLR92903DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Shlvs & BBF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Upper Shelves & Box Box File Pedestal, File File",ZXLR92903FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Shlvs & BBF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Full Wardrobe, Double Doors",ZXLR92904DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Full Wdrb-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Full Wardrobe, File File",ZXLR92904FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Full Wdrb-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Upper Wardrobe & Lower Door, Double Doors",ZXLR92905DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Wdrb & Low Dr-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Upper Wardrobe & Lower Door, File File",ZXLR92905FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Wdrb & Low Dr-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Upper Wardrobe & File File Pedestal, Double Doors",ZXLR92906DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Wdrb & FF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Upper Wardrobe & File File Pedestal, File File",ZXLR92906FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Wdrb & FF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXLR92907DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Wdrb & BBF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Upper Wardrobe & Box Box File Pedestal, File File",ZXLR92907FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 90""h, Up Wdrb & BBF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
