,Model##other##,Description##other##,Storage Tower##other##,Has Double Doors##other##
"Upper Shelves & Lower Door, Double Doors",ZXRL92741DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Shlvs & Low Dr-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Upper Shelves & Lower Door, File File ",ZXRL92741FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Shlvs & Low Dr-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Upper Shelves & File File Pedestal, Double Doors",ZXRL92742DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Shlvs & FF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Upper Shelves & File File Pedestal, File File",ZXRL92742FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Shlvs & FF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Upper Shelves & Box Box File Pedestal, Double Doors",ZXRL92743DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Shlvs & BBF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Upper Shelves & Box Box File Pedestal, File File",ZXRL92743FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Shlvs & BBF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Full Wardrobe, Double Doors",ZXRL92744DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Full Wdrb-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Full Wardrobe, File File",ZXRL92744FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Full Wdrb-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Upper Wardrobe & Lower Door, Double Doors",ZXRL92745DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Wdrb & Low Dr-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Upper Wardrobe & Lower Door, File File ",ZXRL92745FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Wdrb & Low Dr-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Upper Wardrobe & File File Pedestal, Double Doors",ZXRL92746DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Wdrb & FF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Upper Wardrobe & File File Pedestal, File File",ZXRL92746FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Wdrb & FF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXRL92747DDL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Wdrb & BBF Ped-R Twr Stor, Dbl Drs, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Upper Wardrobe & Box Box File Pedestal, File File",ZXRL92747FFL,"Stor Wall w/R Twr & L Stor Int, 92""w x 74""h, Up Wdrb & BBF Ped-R Twr Stor, File/File, w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
