;Model##other##;Depth##length##inches;Width##length##inches;Height##length##inches;Description##other##;Unit Weight##other##
"48"" x 120"" x 30""";ZXDT4812030;48;120;30;"Two Piece X-Leg Conference Table, 48""d x 120""w x 30""h";454
"48"" x 132"" x 30""";ZXDT4813230;48;132;30;"Two Piece X-Leg Conference Table, 48""d x 132""w x 30""h";471
"48"" x 144"" x 30""";ZXDT4814430;48;144;30;"Two Piece X-Leg Conference Table, 48""d x 144""w x 30""h";489
"48"" x 156"" x 30""";ZXDT4815630;48;156;30;"Two Piece X-Leg Conference Table, 48""d x 156""w x 30""h";506
"48"" x 168"" x 30""";ZXDT4816830;48;168;30;"Two Piece X-Leg Conference Table, 48""d x 168""w x 30""h";524
"48"" x 180"" x 30""";ZXDT4818030;48;180;30;"Two Piece X-Leg Conference Table, 48""d x 180""w x 30""h";541
"48"" x 192"" x 30""";ZXDT4819230;48;192;30;"Two Piece X-Leg Conference Table, 48""d x 192""w x 30""h";558
"48"" x 216"" x 30""";ZXDT4821630;48;216;30;"Two Piece X-Leg Conference Table, 48""d x 216""w x 30""h";593
"54"" x 120"" x 30""";ZXDT5412030;54;120;30;"Two Piece X-Leg Conference Table, 54""d x 120""w x 30""h";476
"54"" x 132"" x 30""";ZXDT5413230;54;132;30;"Two Piece X-Leg Conference Table, 54""d x 132""w x 30""h";495
"54"" x 144"" x 30""";ZXDT5414430;54;144;30;"Two Piece X-Leg Conference Table, 54""d x 144""w x 30""h";515
"54"" x 156"" x 30""";ZXDT5415630;54;156;30;"Two Piece X-Leg Conference Table, 54""d x 156""w x 30""h";534
"54"" x 168"" x 30""";ZXDT5416830;54;168;30;"Two Piece X-Leg Conference Table, 54""d x 168""w x 30""h";554
"54"" x 180"" x 30""";ZXDT5418030;54;180;30;"Two Piece X-Leg Conference Table, 54""d x 180""w x 30""h";574
"54"" x 192"" x 30""";ZXDT5419230;54;192;30;"Two Piece X-Leg Conference Table, 54""d x 192""w x 30""h";593
"54"" x 216"" x 30""";ZXDT5421630;54;216;30;"Two Piece X-Leg Conference Table, 54""d x 216""w x 30""h";632
"60"" x 120"" x 30""";ZXDT6012030;60;120;30;"Two Piece X-Leg Conference Table, 60""d x 120""w x 30""h";498
"60"" x 132"" x 30""";ZXDT6013230;60;132;30;"Two Piece X-Leg Conference Table, 60""d x 132""w x 30""h";519
"60"" x 144"" x 30""";ZXDT6014430;60;144;30;"Two Piece X-Leg Conference Table, 60""d x 144""w x 30""h";541
"60"" x 156"" x 30""";ZXDT6015630;60;156;30;"Two Piece X-Leg Conference Table, 60""d x 156""w x 30""h";563
"60"" x 168"" x 30""";ZXDT6016830;60;168;30;"Two Piece X-Leg Conference Table, 60""d x 168""w x 30""h";585
"60"" x 180"" x 30""";ZXDT6018030;60;180;30;"Two Piece X-Leg Conference Table, 60""d x 180""w x 30""h";606
"60"" x 192"" x 30""";ZXDT6019230;60;192;30;"Two Piece X-Leg Conference Table, 60""d x 192""w x 30""h";628
"60"" x 216"" x 30""";ZXDT6021630;60;216;30;"Two Piece X-Leg Conference Table, 60""d x 216""w x 30""h";672
