,Description##other##,Model##other##,Has Extension##other##,Has Arms##other##,Unit Weight##other##,Width Seat##length##inches
Two Seater With Arms,"Spectrum Multiple Seater Mono, Two Seater Sofa With Arms",STSSM2A,0,1,175,60.25
Two Seater With Extensions,"Spectrum Multiple Seater Mono, Two Seater Sofa With Extensions",STSSM2E,1,0,175,60.25
Two Seater No Arms,"Spectrum Multiple Seater Mono, Two Seater Sofa No Arms",STSSM2N,0,0,155,60.25
Three Seater With Arms,"Spectrum Multiple Seater Mono, Three Seater Sofa With Arms",STSSM3A,0,1,230,90.25
Three Seater With Extensions,"Spectrum Multiple Seater Mono, Three Seater Sofa With Extensions",STSSM3E,1,0,230,90.25
Three Seater No Arms,"Spectrum Multiple Seater Mono, Three Seater Sofa No Arms",STSSM3N,0,0,220,90.25
Four Seater With Arms,"Spectrum Multiple Seater Mono, Four Seater Sofa With Arms",STSSM4A,0,1,330,120.25
Four Seater With Extensions,"Spectrum Multiple Seater Mono, Four Seater Sofa With Extensions",STSSM4E,1,0,330,120.25
Four Seater No Arms,"Spectrum Multiple Seater Mono, Four Seater Sofa No Arms",STSSM4N,0,0,310,120.25
Five Seater With Arms,"Spectrum Multiple Seater Mono, Five Seater Sofa With Arms",STSSM5A,0,1,385,150.25
Five Seater With Extensions,"Spectrum Multiple Seater Mono, Five Seater Sofa With Extensions",STSSM5E,1,0,385,150.25
Five Seater No Arms,"Spectrum Multiple Seater Mono, Five Seater Sofa No arms",STSSM5N,0,0,365,150.25
Six Seater With Arms,"Spectrum Multiple Seater Mono, Six Seater Sofa With Arms",STSSM6A,0,1,440,180.25
Six Seater With Extensions,"Spectrum Multiple Seater Mono, Six Seater Sofa With Extensions",STSSM6E,1,0,440,180.25
Six Seater No Arms,"Spectrum Multiple Seater Mono, Six Seater Sofa No Arms",STSSM6N,0,0,420,180.25
Seven Seater With Arms,"Spectrum Multiple Seater Mono, Seven Seater Sofa With Arms",STSSM7A,0,1,550,210.25
Seven Seater With Extensions,"Spectrum Multiple Seater Mono, Seven Seater Sofa With Extensions",STSSM7E,1,0,550,210.25
Seven Seater No Arms,"Spectrum Multiple Seater Mono, Seven Seater Sofa No Arms",STSSM7N,0,0,530,210.25
